"Crop","Sampling","Contrast","Difference","Std_Error","t_Stat","p_Value","Signif"
"corn","flowering","follow soy",-0.678,6.299,-0.108,0.999,""
"corn","flowering","follow sunflower",-7.267,6.148,-1.182,0.515,""
"corn","flowering","rotation length",18.475,5.709,3.236,0.007,"**"
"corn","seedling","follow soy",-0.052,0.022,-2.295,0.073,"^"
"corn","seedling","follow sunflower",0.034,0.022,1.566,0.295,""
"corn","seedling","rotation length",0.058,0.02,2.836,0.02,"*"
"corn","yield","follow soy",70.347,324.062,0.217,0.993,""
"corn","yield","follow sunflower",-746.618,316.252,-2.361,0.063,"^"
"corn","yield","rotation length",1441.247,293.706,4.907,0,"***"
"soy","flowering","follow corn",-4.484,0.721,-6.217,0,"***"
"soy","flowering","rotation length",3.018,0.817,3.695,0.002,"**"
"soy","flowering","with pea",0.559,0.721,0.775,0.822,""
"soy","seedling","follow corn",-0.078,0.022,-3.533,0.004,"**"
"soy","seedling","rotation length",0.023,0.024,0.953,0.715,""
"soy","seedling","with pea",0.068,0.022,3.091,0.012,"*"
"soy","yield","follow corn",-779.473,174.315,-4.472,0,"***"
"soy","yield","rotation length",827.314,157.986,5.237,0,"***"
"soy","yield","with pea",-112.372,174.315,-0.645,0.876,""
